,W1,A,C,B,W3,W2,FH1,E,D,FH2,F,FH3
W1,0,459.4215493,494.852382,965.9069313,739.5365576,301.5658469,4140.851763,3867.745571,3805.745759,3492.736558,3748.038496,3803.521178
A,,0,275.7833933,607.0565377,531.2419411,363.3940561,3932.557147,3659.450954,3597.451142,3284.441941,3539.74388,3595.226561
C,,,0,473.8212743,276.542221,230.9567059,3677.857427,3404.751234,3342.751422,3029.742221,3285.04416,3340.526841
B,,,,0,331.4154492,698.5345231,3732.730655,3459.624462,3397.62465,3084.615449,3339.917388,3395.400069
W3,,,,,0,441.3392799,3401.315206,3128.209013,3066.209201,2753.2,3008.501939,3063.98462
W2,,,,,,0,3842.654486,3569.548293,3507.548481,3194.53928,3449.841219,3505.3239
FH1,,,,,,,0,319.8990466,494.4447391,648.1152058,834.0927526,958.7118441
E,,,,,,,,0,383.5374819,375.0090132,608.1558024,673.4441922
D,,,,,,,,,0,313.0092011,374.9731724,575.9302736
FH2,,,,,,,,,,0,255.3019389,310.78462
F,,,,,,,,,,,0,257.1127379
FH3,,,,,,,,,,,,0